Name,Ticker Data,Ticker
Pizza Pizza Royalty Corp-,PZA,PZA.TO
Platinum Group Metals Ltd-,PTM,PTM.TO
Plaza Retail REIT,PLZ-UN,PLZ-UN.TO
Polaris Renewable Energy Inc-,PIF,PIF.TO
Pollard Banknote Limited,PBL,PBL.TO
Postmedia Network Canada Corp-,PNC-A,PNC-B.TO
Power Corporation of Canada,POW,POW.TO
Power Financial Corporation,PWF-PF-A,PWF-PT.TO
Prairie Provident Resources Inc-,PPR,PPR.TO
PrairieSky Royalty Ltd-,PSK,PSK.TO
Precision Drilling Corporation,PD,PD.TO
Premium Brands Holdings Corporation,PBH,PBH.TO
Premium Income Corporation,PIC-A,PIC-A.TO
Prime Dividend Corp-,PDV,PDV.TO
Prime Mining Corp-,PRYM,PRYM.TO
Primo Water Corporation,PRMW,PRMW.TO
Probe Gold Inc-,PRB,PRB.TO
Profound Medical Corp-,PRN,PRN.TO
Propel Holdings Inc-,PRL,PRL.TO
Pulse Seismic Inc-,PSD,PSD.TO
Purpose Global Bond Class,IGB,IGB.TO
PyroGenesis Canada Inc-,PYR,PYR.TO
Sentry Select Primary Metals Corp-,PME,PME.TO
Sustainable Power & Infrastructure Split Corp-,PWI,PWI.TO
Q4 Inc-,QFOR,QFOR.TO
Quarterhill Inc-,QTRH,QTRH.TO
Quebecor Inc-,QBR-A,QBR-B.TO
Questerre Energy Corporation,QEC,QEC.TO
Restaurant Brands International Inc-,QSR,QSR.TO
Real Estate Split Corp-,RS,RS.TO
Real Matters Inc-,REAL,REAL.TO
Restaurant Brands International Inc-,QSR,QSR.TO
Resverlogix Corp-,RVX,RVX.TO
RF Capital Group Inc-,RCG,RCG.TO
Richelieu Hardware Ltd-,RCH,RCH.TO
Rogers Communications Inc-,RCI-A,RCI-B.TO
Rogers Sugar Inc-,RSI,RSI.TO
Roots Corporation,ROOT,ROOT.TO
Royal Bank of Canada,RY,RY.TO
Royal Canadian Mint - Canadian Gold Reserves,MNT,MNT.TO
Royal Canadian Mint - Canadian Silver Reserves,MNS,MNS.TO
RTG Mining Inc-,RTG,RTG.TO
Rubellite Energy Inc-,RBY,RBY.TO
Rupert Resources Ltd-,RUP,RUP.TO
Russel Metals Inc-,RUS,RUS.TO
Russell Investments Fixed Income Pool,RIFI,RIFI.TO
Russell Investments Global Infrastructure Pool,RIIN,RIIN.TO
Russell Investments Real Assets,RIRA,RIRA.TO
Stingray Group Inc-,RAY-A,RAY-A.TO
Brompton Split Banc Corp-,SBC,SBC.TO
NXT Energy Solutions Inc-,SFD,SFD.TO
S Split Corp-,SBN,SBN.TO
Sabre Gold Mines Corp-,SGLD,SGLD.TO
Sagen MI Canada Inc-,MIC-PR-A,MIC-PA.TO
Sagicor Financial Company Ltd-,SFC,SFC.TO
Sandstorm Gold Ltd-,SSL,SSL.TO
Sangoma Technologies Corporation,STC,STC.TO
Saputo Inc-,SAP,SAP.TO
Saturn Oil & Gas Inc-,SOIL,SOIL.TO
Savaria Corporation,SIS,SIS.TO
Scandium International Mining Corp-,SCY,SCY.TO
Seabridge Gold Inc-,SEA,SEA.TO
Secure Energy Services Inc-,SES,SES.TO
Sentry Select Primary Metals Corp-,PME,PME.TO
Senvest Capital Inc-,SEC,SEC.TO
Sernova Corp-,SVA,SVA.TO
Sherritt International Corporation,S,S.TO
Shopify Inc-,SHOP,SHOP.TO
Sienna Senior Living Inc-,SIA,SIA.TO
Sierra Metals Inc-,SMT,SMT.TO
Signal Gold Inc-,SGNL,SGNL.TO
Silver Bear Resources plc,SBR,SBR.TO
"Silver Bull Resources, Inc-",SVB,SVB.TO
Silver Elephant Mining Corp-,ELEF,ELEF.TO
Silvercorp Metals Inc-,SVM,SVM.TO
SilverCrest Metals Inc-,SIL,SIL.TO
Skeena Resources Limited,SKE,SKE.TO
Slate Grocery REIT,SGR-U,SGR-UN.TO
Slate Office REIT,SOT-DB,SOT-UN.TO
Sleep Country Canada Holdings Inc-,ZZZ,ZZZ.TO
SNC-Lavalin Group Inc-,ATRL,ATRL.TO
Softchoice Corporation,SFTC,SFTC.TO
Solaris Resources Inc-,SLS,SLS.TO
SolGold plc,SOLG,SOLG.TO
Solitario Resources Corp-,SLR,SLR.TO
Solution Financial Inc-,SFI,SFI.TO
Source Energy Services Ltd-,SHLE,SHLE.TO
Spartan Delta Corp-,SDE,SDE.TO
Spectral Medical Inc-,EDT,EDT.TO
Spin Master Corp-,TOY,TOY.TO
Sprott Inc-,SII,SII.TO
SSR Mining Inc-,SSRM,SSRM.TO
St- Augustine Gold and Copper Limited,SAU,SAU.TO
Stack Capital Group Inc-,STCK,STCK.TO
StageZero Life Sciences Ltd-,SZLS,SZLS.TO
Stantec Inc-,STN,STN.TO
Star Diamond Corporation,DIAM,DIAM.TO
Starcore International Mines Ltd-,SAM,SAM.TO
Stelco Holdings Inc-,STLC,STLC.TO
Stella-Jones Inc-,SJ,SJ.TO
STEP Energy Services Ltd-,STEP,STEP.TO
Steppe Gold Ltd-,STGO,STGO.TO
Stingray Group Inc-,RAY-A,RAY-A.TO
StorageVault Canada Inc-,SVI,SVI.TO
Strathcona Resources Ltd-,SCR,SCR.TO
Sulliden Mining Capital Inc-,SMC,SMC.TO
Sun Life Financial Inc-,SLF,SLF.TO
Suncor Energy Inc-,SU,SU.TO
"SunOpta, Inc-",SOY,SOY.TO
Superior Plus Corp-,SPB,SPB.TO
Supremex Inc-,SXP,SXP.TO
Surge Energy Inc-,SGY,SGY.TO
Sustainable Power & Infrastructure Split Corp-,PWI,PWI.TO
Swiss Water Decaffeinated Coffee Inc-,SWP,SWP.TO
Sylogist Ltd-,SYZ,SYZ.TO
Synex Renewable Energy Corporation,SXI,SXI.TO
Molson Coors Canada Inc-,TPX-A,TPX-B.TO
PetroTal Corp-,TAL,TAL.TO
Spin Master Corp-,TOY,TOY.TO
Taiga Building Products Ltd-,TBL,TBL.TO
Taiga Motors Corporation,TAIG,TAIG.TO
Talisker Resources Ltd-,TSK,TSK.TO
Talon Metals Corp-,TLO,TLO.TO
Tamarack Valley Energy Ltd-,TVE,TVE.TO
Tantalus Systems Holding Inc-,GRID,GRID.TO
Taseko Mines Limited,TKO,TKO.TO
TC Energy Corporation,TRP,TRP.TO
TDb Split Corp-,XTD,XTD.TO
Teck Resources Limited,TECK-A,TECK-B.TO
TECSYS Inc-,TCS,TCS.TO
Telesat Corporation,TSAT,TSAT.TO
TELUS Corporation,T,T.TO
TELUS International (Cda) Inc-,TIXT,TIXT.TO
Tenaz Energy Corp-,TNZ,TNZ.TO
TeraGo Inc-,TGO,TGO.TO
TerrAscend Corp-,TSND,TSND.TO
TerraVest Industries Inc-,TVK,TVK.TO
TFI International Inc-,TFII,TFII.TO
Theratechnologies Inc-,TH,TH.TO
Thinkific Labs Inc-,THNC,THNC.TO
Thomson Reuters Corporation,TRI,TRI.TO
Tidewater Midstream and Infrastructure Ltd-,TWM,TWM.TO
Tidewater Renewables Ltd-,LCFS,LCFS.TO
Timbercreek Financial Corp-,TF,TF.TO
Titan Medical Inc-,TMD,TMD.TO
Titan Mining Corporation,TI,TI.TO
TMX Group Limited,X,X.TO
Topaz Energy Corp-,TPZ,TPZ.TO
Torex Gold Resources Inc-,TXG,TXG.TO
Toromont Industries Ltd-,TIH,TIH.TO
Toronto-Dominion Bank (The),TD,TD.TO
Total Energy Services Inc-,TOT,TOT.TO
Touchstone Exploration Inc-,TXP,TXP.TO
Tourmaline Oil Corp-,TOU,TOU.TO
TransAlta Corporation,TA,TA.TO
Transat A-T- Inc-,TRZ,TRZ.TO
Transcontinental Inc-,TCL-A,TCL-A.TO
Treasury Metals Inc-,TML,TML.TO
Tree Island Steel Ltd-,TSL,TSL.TO
Trican Well Service Ltd-,TCW,TCW.TO
Tricon Residential Inc-,TCN,TCN.TO
Trilogy Metals Inc-,TMQ,TMQ.TO
Triple Flag Precious Metals Corp-,TFPM,TFPM.TO
Trisura Group Ltd-,TSU,TSU.TO
Troilus Gold Corp-,TLG,TLG.TO
Tucows Inc-,TC,TC.TO
TVA Group Inc-,TVA-B,TVA-B.TO
TWC Enterprises Limited,TWC,TWC.TO
Americas Gold and Silver Corporation,USA,USA.TO
Unisync Corp-,UNI,UNI.TO
United Corporations Limited,UNC,UNC.TO
Ur-Energy Inc-,URE,URE.TO
Uranium Royalty Corp-,URC,URC.TO
Urbana Corporation,URB,URB.TO
US Financial 15 Split Corp-,FTU,FTU.TO
5N Plus Inc-,VNP,VNP.TO
Valeo Pharma Inc-,VPH,VPH.TO
Valeura Energy Inc-,VLE,VLE.TO
Vecima Networks Inc-,VCM,VCM.TO
Velan Inc-,VLN,VLN.TO
Verde Agritech Ltd-,NPK,NPK.TO
Vermilion Energy Inc-,VET,VET.TO
VersaBank,VBNK,VBNK.TO
VerticalScope Holdings Inc-,FORA,FORA.TO
Victoria Gold Corp-,VGCX,VGCX.TO
VIQ Solutions Inc-,VQS,VQS.TO
Vista Gold Corp-,VGZ,VGZ.TO
Vitalhub Corp-,VHI,VHI.TO
VM Hotel Acquisition Corp-,VMH-U,VMH-U.TO
Canopy Growth Corporation,WEED,WEED.TO
George Weston Limited,WN,WN.TO
Wajax Corporation,WJX,WJX.TO
Wall Financial Corporation,WFC,WFC.TO
Wallbridge Mining Company Limited,WM,WM.TO
"Waste Connections, Inc-",WCN,WCN.TO
WELL Health Technologies Corp-,WELL,WELL.TO
Wesdome Gold Mines Ltd-,WDO,WDO.TO
West Fraser Timber Co- Ltd-,WFG,WFG.TO
Western Copper and Gold Corporation,WRN,WRN.TO
Western Energy Services Corp-,WRG,WRG.TO
Western Forest Products Inc-,WEF,WEF.TO
Western Resources Corp-,WRX,WRX.TO
Westport Fuel Systems Inc-,WPRT,WPRT.TO
Westshore Terminals Investment Corporation,WTE,WTE.TO
Wheaton Precious Metals Corp-,WPM,WPM.TO
Whitecap Resources Inc-,WCP,WCP.TO
WildBrain Ltd-,WILD,WILD.TO
Willow Biosciences Inc-,WLLW,WLLW.TO
Wilmington Capital Management Inc-,WCM-A,WCM-B.TO
Winpak Ltd-,WPK,WPK.TO
WonderFi Technologies Inc-,WNDR,WNDR.TO
World Financial Split Corp-,WFS,WFS.TO
WSP Global Inc-,WSP,WSP.TO
Auxly Cannabis Group Inc-,XLY,XLY.TO
Exco Technologies Limited,XTC,XTC.TO
GoldMoney Inc-,XAU,XAU.TO
M Split Corp-,XMF-A,XMF-A.TO
TDb Split Corp-,XTD,XTD.TO
TMX Group Limited,X,X.TO
Xanadu Mines Ltd-,XAM,XAM.TO
Xtra-Gold Resources Corp-,XTG,XTG.TO
Xtract One Technologies Inc-,XTRA,XTRA.TO
Commerce Split Corp-,YCM,YCM-PA.TO
Yangarra Resources Ltd-,YGR,YGR.TO
Yellow Pages Limited,Y,Y.TO
Yorbeau Resources Inc-,YRB,YRB.TO
Sleep Country Canada Holdings Inc-,ZZZ,ZZZ.TO
5N Plus Inc-,VNP,VNP.TO
First National Financial Corporation,FN,FN.TO
