Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
ASM.TO,Avino Silver & Gold Mines Ltd.,Basic Materials,4.4187e-11,1.1228e-11,1.6022e-11
AXIS.TO,Axis Auto Finance Inc.,Financial Services,4.0595207e-11,4.0163348999999995e-11,3.8368588000000005e-11
AYA.TO,Aya Gold & Silver Inc.,Basic Materials,3.8244921e-11,3.4301913999999994e-11,1.3822709e-11
ABX.TO,Barrick Gold Corporation,Basic Materials,1.1013e-08,1.1985000000000001e-08,1.2595e-08
AUMN.TO,Golden Minerals Company,Basic Materials,2.3285e-11,2.5596e-11,5.6369999999999995e-12
AIDX.TO,Healwell AI Inc.,Healthcare,5.3222e-11,4.7817e-11,3.8572999999999996e-11
ATRL.TO,SNC-Lavalin Group Inc.,Industrials,7.549031e-09,7.371252e-09,7.007501e-09
BTO.TO,B2Gold Corp.,Basic Materials,1.73259e-09,1.762264e-09,1.7889280000000001e-09
BDGI.TO,Badger Infrastructure Solutions Ltd.,Industrials,5.708119999999999e-10,4.5391000000000004e-10,4.3808384830139e-10
BLDP.TO,Ballard Power Systems Inc.,Industrials,8.378600000000001e-11,1.0450499999999999e-10,1.03877e-10
BMO.TO,Bank of Montreal,Financial Services,3.3055e-08,2.6259e-08,2.6909e-08
BNS.TO,The Bank of Nova Scotia,Financial Services,3.1787000000000005e-08,3.1509e-08,3.0913e-08
BLCO.TO,Bausch + Lomb Corporation,Healthcare,3.768e-09,3.765e-09,3.4120000000000002e-09
BHC.TO,Bausch Health Companies Inc.,Healthcare,8.123999999999999e-09,8.434000000000001e-09,8.027e-09
BYL.TO,Baylin Technologies Inc.,Technology,1.2086e-10,1.02494e-10,1.19739e-10
BTE.TO,Baytex Energy Corp.,Energy,2.889045e-09,1.868195e-09,9.75477e-10
BCE.TO,BCE Inc.,Communication Services,2.4174000000000002e-08,2.3449e-08,2.2883e-08
BEK-B.TO,The Becker Milk Company Limited,Real Estate,2.7120929999999997e-12,2.630175e-12,3.02497e-12
BSX.TO,Belo Sun Mining Corp,Basic Materials,0.0,0.0,0.0
BNG.TO,Bengal Energy Ltd.,Energy,8.149e-12,7.649999999999999e-12,5.2340000000000005e-12
BNK.TO,Big Banc Split Corp.,Financial Services,-3.9607699999999995e-12,1.3358397000000002e-11,7.44092e-12
PRM.TO,Big Pharma Split Corp.,Financial Services,3.7106439999999995e-12,5.359368e-12,5.89257e-13
