Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
RAY-A.TO,Stingray Group Inc.,Communication Services,323944000.0,282626000.0,247857000.0
SBN.TO,Mulvihill S Split Corp.,Financial Services,-2120780.0,3355042.0,-734995.0
SGLD.TO,Sabre Gold Mines Corp.,Basic Materials,0.0,0.0,0.0
SFC.TO,Sagicor Financial Company Ltd.,Financial Services,2546366000.0,2355354000.0,1902962000.0
SSL.TO,Sandstorm Gold Ltd.,Basic Materials,148732000.0,114860000.0,93025000.0
STC.TO,Sangoma Technologies Corporation,Technology,252530000.0,224352000.0,131383000.0
SAP.TO,Saputo Inc.,Consumer Defensive,17843000000.0,15035000000.0,14294000000.0
SOIL.TO,Saturn Oil & Gas Inc.,Energy,371132000.0,116214000.0,7549000.0
SIS.TO,Savaria Corporation,Industrials,789091000.0,660983000.0,354496000.0
SCY.TO,Scandium International Mining Corp.,Basic Materials,0.0,0.0,0.0
SEA.TO,Seabridge Gold Inc.,Basic Materials,0.0,0.0,0.0
SES.TO,Secure Energy Services Inc.,Industrials,8002000000.0,3766000000.0,1824000000.0
SEC.TO,Senvest Capital Inc.,Financial Services,-262382000.0,1039872000.0,354207000.0
SVA.TO,Sernova Corp.,Healthcare,0.0,0.0,0.0
S.TO,Sherritt International Corporation,Basic Materials,178800000.0,110200000.0,119800000.0
SHOP.TO,Shopify Inc.,Technology,5599864000.0,4611856000.0,2929491000.0
SIA.TO,Sienna Senior Living Inc.,Healthcare,718590000.0,668494000.0,664233000.0
SMT.TO,Sierra Metals Inc.,Basic Materials,192119000.0,272014000.0,246888000.0
SGNL.TO,Signal Gold Inc.,Basic Materials,41771422.0,27798558.0,41582990.0
SBR.TO,Silver Bear Resources Plc,Basic Materials,39169165.0,45315268.0,51887094.0
SVB.TO,"Silver Bull Resources, Inc.",Basic Materials,0.0,0.0,0.0
SVM.TO,Silvercorp Metals Inc.,Basic Materials,208129000.0,217923000.0,192105000.0
SIL.TO,SilverCrest Metals Inc.,Basic Materials,43510000.0,0.0,0.0
SKE.TO,Skeena Resources Limited,Basic Materials,0.0,0.0,0.0
SGR-UN.TO,Slate Grocery REIT,Real Estate,177485000.0,138275000.0,126130000.0
SOT-UN.TO,Slate Office REIT,Real Estate,196515000.0,172650000.0,183586000.0
ZZZ.TO,Sleep Country Canada Holdings Inc.,Consumer Cyclical,928657000.0,920194000.0,757699000.0
SFTC.TO,Softchoice Corporation,Technology,928214000.0,903066000.0,836751000.0
SLS.TO,Solaris Resources Inc.,Basic Materials,0.0,0.0,0.0
SOLG.TO,SolGold Plc,Basic Materials,0.0,0.0,0.0
SLR.TO,Solitario Resources Corp.,Basic Materials,0.0,0.0,0.0
SFI.TO,Solution Financial Inc.,Industrials,15377450.0,20347916.0,20452133.0
SHLE.TO,Source Energy Services Ltd.,Energy,415912000.0,319861000.0,249878000.0
SDE.TO,Spartan Delta Corp.,Energy,1475137000.0,618839000.0,99713000.0
TOY.TO,Spin Master Corp.,Consumer Cyclical,2020300000.0,2042400000.0,1570600000.0
SII.TO,Sprott Inc.,Financial Services,149283000.0,161410000.0,110450000.0
SSRM.TO,SSR Mining Inc.,Basic Materials,1148033000.0,1474199000.0,853089000.0
SAU.TO,St. Augustine Gold and Copper Limited,Basic Materials,0.0,0.0,0.0
SZLS.TO,StageZero Life Sciences Ltd.,Healthcare,3795076.0,5068156.0,4151810.0
STN.TO,Stantec Inc.,Industrials,5677200000.0,4576800000.0,4730100000.0
SAM.TO,Starcore International Mines Ltd.,Basic Materials,25679000.0,26799000.0,24820000.0
STLC.TO,Stelco Holdings Inc.,Basic Materials,3463000000.0,4123000000.0,1517000000.0
SJ.TO,Stella-Jones Inc.,Basic Materials,3065000000.0,2750000000.0,2551000000.0
STEP.TO,STEP Energy Services Ltd.,Energy,989018000.0,536309000.0,368945000.0
STGO.TO,Steppe Gold Ltd.,Basic Materials,62366000.0,24050000.0,58106000.0
SVI.TO,StorageVault Canada Inc.,Real Estate,261828289.0,208660678.0,155463922.0
SCR.TO,Strathcona Resources Ltd.,Energy,N/A,N/A,N/A
SMC.TO,Sulliden Mining Capital Inc.,Basic Materials,0.0,0.0,0.0
SLF.TO,Sun Life Financial Inc.,Financial Services,23207000000.0,35690000000.0,43337000000.0
SU.TO,Suncor Energy Inc.,Energy,62907000000.0,41133000000.0,24900000000.0
SOY.TO,SunOpta Inc.,Consumer Defensive,934662000.0,812624000.0,789213000.0
SPB.TO,Superior Plus Corp.,Utilities,3379800000.0,2392600000.0,1806900000.0
SXP.TO,Supremex Inc.,Consumer Cyclical,272467276.0,226429947.0,204604433.0
SGY.TO,Surge Energy Inc.,Energy,734470000.0,414638000.0,215821000.0
SWP.TO,Swiss Water Decaffeinated Coffee Inc.,Consumer Defensive,176935000.0,125076000.0,97571000.0
SXI.TO,Synex Renewable Energy Corporation,Utilities,2202636.0,3345540.0,3532139.0
TBL.TO,Taiga Building Products Ltd.,Basic Materials,2192705000.0,2219674000.0,1589123000.0
TAIG.TO,Taiga Motors Corporation,Consumer Cyclical,3212100.0,0.0,0.0
TSK.TO,Talisker Resources Ltd.,Basic Materials,0.0,0.0,0.0
TLO.TO,Talon Metals Corp.,Basic Materials,0.0,0.0,0.0
TVE.TO,Tamarack Valley Energy Ltd.,Energy,1461117000.0,701051000.0,222073000.0
TKO.TO,Taseko Mines Limited,Basic Materials,391609000.0,433278000.0,343267000.0
TRP.TO,TC Energy Corporation,Energy,14977000000.0,13387000000.0,12999000000.0
XTD.TO,TDb Split Corp.,Financial Services,1921048.0,18493855.0,-13928334.0
TECK-B.TO,Teck Resources Limited,Basic Materials,17316000000.0,12766000000.0,8948000000.0
TCS.TO,Tecsys Inc.,Technology,152424000.0,137200000.0,123101000.0
TSAT.TO,Telesat Corporation,Technology,759169000.0,758212000.0,820468000.0
T.TO,TELUS Corporation,Communication Services,18292000000.0,16838000000.0,15341000000.0
TIXT.TO,TELUS International (Cda) Inc.,Technology,2468000000.0,2194000000.0,1582000000.0
TNZ.TO,Tenaz Energy Corp.,Energy,34087000.0,17830000.0,8615000.0
TGO.TO,TeraGo Inc.,Communication Services,27622000.0,43303000.0,45448000.0
TSND.TO,TerrAscend Corp.,Healthcare,247829000.0,194210000.0,132152000.0
TVK.TO,TerraVest Industries Inc.,Energy,678350000.0,576704000.0,307463000.0
TFII.TO,TFI International Inc.,Industrials,8812491000.0,7220429000.0,3781134000.0
TH.TO,Theratechnologies Inc.,Healthcare,80057000.0,69823000.0,66053000.0
THNC.TO,Thinkific Labs Inc.,Technology,51476010.0,38116836.0,21069587.0
TRI.TO,Thomson Reuters Corporation,Industrials,6627000000.0,6348000000.0,5984000000.0
TWM.TO,Tidewater Midstream and Infrastructure Ltd.,Energy,2875200000.0,1698400000.0,979406000.0
TF.TO,Timbercreek Financial Corp.,Financial Services,148306000.0,116572000.0,125698000.0
TMD.TO,Titan Medical Inc.,Healthcare,0.0,20093000.0,20000000.0
TI.TO,Titan Mining Corporation,Basic Materials,62061000.0,55594000.0,32638000.0
X.TO,TMX Group Limited,Financial Services,1116600000.0,980700000.0,865100000.0
TPZ.TO,Topaz Energy Corp.,Energy,356735000.0,198614000.0,89643000.0
TXG.TO,Torex Gold Resources Inc.,Basic Materials,868500000.0,855800000.0,789200000.0
TIH.TO,Toromont Industries Ltd.,Industrials,4230736000.0,3886537000.0,3478897000.0
TD.TO,The Toronto-Dominion Bank,Financial Services,52929000000.0,45762000000.0,42266000000.0
TOT.TO,Total Energy Services Inc.,Energy,759813000.0,431576000.0,365750000.0
TXP.TO,Touchstone Exploration Inc.,Energy,42986000.0,29608000.0,19713000.0
TOU.TO,Tourmaline Oil Corp.,Energy,8677648000.0,5121598000.0,2144071000.0
TA.TO,TransAlta Corporation,Utilities,2976000000.0,2721000000.0,2101000000.0
TRZ.TO,Transat A.T. Inc.,Consumer Cyclical,3048352000.0,1642038000.0,124818000.0
TCL-A.TO,Transcontinental Inc.,Consumer Cyclical,2940600000.0,2956100000.0,2643400000.0
TML.TO,Treasury Metals Inc.,Basic Materials,0.0,0.0,0.0
TSL.TO,Tree Island Steel Ltd.,Basic Materials,338434000.0,301848000.0,215894000.0
TCW.TO,Trican Well Service Ltd.,Energy,866295000.0,562479000.0,397019000.0
TCN.TO,Tricon Residential Inc.,Real Estate,805673000.0,496608000.0,401072000.0
TMQ.TO,Trilogy Metals Inc.,Basic Materials,0.0,0.0,0.0
TFPM.TO,Triple Flag Precious Metals Corp.,Basic Materials,151885000.0,150421000.0,112588000.0
TSU.TO,Trisura Group Ltd.,Financial Services,526102000.0,349877000.0,226632000.0
TLG.TO,Troilus Gold Corp.,Basic Materials,0.0,0.0,0.0
TC.TO,Tucows Inc.,Technology,321142000.0,304337000.0,311202000.0
TVA-B.TO,TVA Group Inc.,Communication Services,594409000.0,622834000.0,508144000.0
TWC.TO,TWC Enterprises Limited,Consumer Cyclical,190806000.0,178417000.0,131801000.0
UNI.TO,Unisync Corp.,Consumer Cyclical,103599811.0,96306766.0,86285179.0
UNC.TO,United Corporations Limited,Financial Services,20379000.0,-21630000.0,488208000.0
URE.TO,Ur-Energy Inc.,Energy,19000.0,16000.0,8316000.0
URC.TO,Uranium Royalty Corp.,Energy,13854000.0,0.0,0.0
URB.TO,Urbana Corporation,Financial Services,23442370.0,69703546.0,16000346.0
VNP.TO,5N Plus Inc.,Basic Materials,264223000.0,209990000.0,177192000.0
VPH.TO,Valeo Pharma Inc.,Healthcare,53910000.0,27745000.0,13557000.0
VLE.TO,Valeura Energy Inc.,Energy,0.0,3126000.0,8547000.0
VCM.TO,Vecima Networks Inc.,Technology,303437000.0,186814000.0,124177000.0
VLN.TO,Velan Inc.,Industrials,370429000.0,411242000.0,302063000.0
VET.TO,Vermilion Energy Inc.,Energy,3721228000.0,2226852000.0,1247398000.0
VBNK.TO,VersaBank,Financial Services,108635000.0,82392000.0,65357000.0
VGCX.TO,Victoria Gold Corp.,Basic Materials,321843000.0,356454000.0,178747827.0
VQS.TO,VIQ Solutions Inc.,Technology,45843929.0,31046812.0,31749693.0
VGZ.TO,Vista Gold Corp.,Basic Materials,0.0,0.0,0.0
VHI.TO,Vitalhub Corp.,Healthcare,39970814.0,24664593.0,13794192.0
WJX.TO,Wajax Corporation,Industrials,1962822000.0,1637281000.0,1422648000.0
WFC.TO,Wall Financial Corporation,Real Estate,144352178.0,241048774.0,191558440.0
WM.TO,Wallbridge Mining Company Limited,Basic Materials,0.0,0.0,0.0
WCN.TO,"Waste Connections, Inc.",Industrials,7211859000.0,6151361000.0,5445990000.0
WELL.TO,WELL Health Technologies Corp.,Healthcare,569136000.0,302324000.0,50240000.0
WDO.TO,Wesdome Gold Mines Ltd.,Basic Materials,265483000.0,262907000.0,215466000.0
WFG.TO,West Fraser Timber Co. Ltd.,Basic Materials,9701000000.0,10518000000.0,4373000000.0
WRN.TO,Western Copper and Gold Corporation,Basic Materials,0.0,0.0,0.0
WRG.TO,Western Energy Services Corp.,Energy,200344000.0,131678000.0,103684000.0
WEF.TO,Western Forest Products Inc.,Basic Materials,1444000000.0,1417700000.0,964900000.0
WRX.TO,Western Resources Corp.,Basic Materials,0.0,0.0,0.0
WPRT.TO,Westport Fuel Systems Inc.,Consumer Cyclical,305698000.0,312412000.0,252497000.0
WTE.TO,Westshore Terminals Investment Corporation,Industrials,291960000.0,340471000.0,368410000.0
WPM.TO,Wheaton Precious Metals Corp.,Basic Materials,1065053000.0,1201665000.0,1096224000.0
WCP.TO,Whitecap Resources Inc.,Energy,4780400000.0,2694000000.0,931898000.0
WILD.TO,WildBrain Ltd.,Communication Services,532871000.0,507223000.0,452534000.0
WLLW.TO,Willow Biosciences Inc.,Healthcare,821000.0,133000.0,10000.0
WCM-B.TO,Wilmington Capital Management Inc.,Financial Services,1659000.0,1871000.0,2013000.0
WPK.TO,Winpak Ltd.,Consumer Cyclical,1181133000.0,1001994000.0,852493000.0
WSP.TO,WSP Global Inc.,Industrials,11932900000.0,10279100000.0,8803900000.0
XAM.TO,Xanadu Mines Limited,Basic Materials,N/A,N/A,N/A
XTG.TO,Xtra-Gold Resources Corp.,Basic Materials,0.0,0.0,0.0
XTRA.TO,Xtract One Technologies Inc.,Technology,4111244.0,3619214.0,1081975.0
Y.TO,Yellow Pages Limited,Communication Services,268278000.0,287646000.0,333538000.0
YRB.TO,Yorbeau Resources Inc.,Basic Materials,596841.0,820893.0,817736.0
