Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020,opcashflw_2023,opcashflw_2022,opcashflw_2021,total_assets_2023,total_assets_2022,total_assets_2021,equity_2023,equity_2022,equity_2021,liability_2023,liability_2022,liability_2021
SZLS.TO,StageZero Life Sciences Ltd.,Healthcare,3795076.0,5068156.0,4151810.0,-3528756.0,-8954863.0,-3064419.0,700652.0,10645989.0,8507702.0,-7503337.0,2761765.0,-1233476.0,-7503337.0,2761765.0,-1233476.0
STN.TO,Stantec Inc.,Industrials,5677200000.0,4576800000.0,4730100000.0,304300000.0,397000000.0,603800000.0,5652900000.0,5226400000.0,4388900000.0,2286400000.0,2002200000.0,1929300000.0,2286400000.0,2002200000.0,1929300000.0
SAM.TO,Starcore International Mines Ltd.,Basic Materials,25679000.0,26799000.0,24820000.0,5833000.0,7728000.0,2739000.0,52041000.0,46471000.0,54413000.0,40054000.0,36280000.0,37304000.0,40054000.0,36280000.0,37304000.0
STLC.TO,Stelco Holdings Inc.,Basic Materials,3463000000.0,4123000000.0,1517000000.0,587000000.0,1607000000.0,4000000.0,3131000000.0,3237000000.0,1779000000.0,1405000000.0,1438000000.0,281000000.0,1405000000.0,1438000000.0,281000000.0
SJ.TO,Stella-Jones Inc.,Basic Materials,3065000000.0,2750000000.0,2551000000.0,255000000.0,251000000.0,178000000.0,3073000000.0,2665000000.0,2426000000.0,1557000000.0,1448000000.0,1373000000.0,1557000000.0,1448000000.0,1373000000.0
STEP.TO,STEP Energy Services Ltd.,Energy,989018000.0,536309000.0,368945000.0,122601000.0,58846000.0,46803000.0,682532000.0,483848000.0,479859000.0,306033000.0,177442000.0,204579000.0,306033000.0,177442000.0,204579000.0
STGO.TO,Steppe Gold Ltd.,Basic Materials,62366000.0,24050000.0,58106000.0,18715000.0,-7039000.0,23686000.0,72658000.0,146276000.0,85678000.0,17223000.0,7015000.0,28186000.0,17223000.0,7015000.0,28186000.0
SVI.TO,StorageVault Canada Inc.,Real Estate,261828289.0,208660678.0,155463922.0,67309929.0,57024281.0,43140279.0,2020752160.0,1836156209.0,1587379939.0,207155103.0,222206516.0,210175167.0,207155103.0,222206516.0,210175167.0
SMC.TO,Sulliden Mining Capital Inc.,Basic Materials,0.0,0.0,0.0,-1380378.0,-5690657.0,-2568491.0,3471330.0,9107953.0,12532255.0,2707069.0,8389391.0,12011334.0,2707069.0,8389391.0,12011334.0
SLF.TO,Sun Life Financial Inc.,Financial Services,23207000000.0,35690000000.0,43337000000.0,4311000000.0,-1857000000.0,7253000000.0,330906000000.0,345370000000.0,323011000000.0,29377000000.0,28073000000.0,25862000000.0,29377000000.0,28073000000.0,25862000000.0
SU.TO,Suncor Energy Inc.,Energy,62907000000.0,41133000000.0,24900000000.0,15680000000.0,11764000000.0,2675000000.0,84618000000.0,83739000000.0,84616000000.0,39367000000.0,36614000000.0,35757000000.0,39367000000.0,36614000000.0,35757000000.0
SOY.TO,SunOpta Inc.,Consumer Defensive,934662000.0,812624000.0,789213000.0,60575000.0,-21432000.0,91696000.0,855852000.0,754754000.0,585615000.0,319207000.0,313328000.0,305334000.0,319207000.0,313328000.0,305334000.0
SPB.TO,Superior Plus Corp.,Utilities,3379800000.0,2392600000.0,1806900000.0,248700000.0,232000000.0,360200000.0,4476900000.0,3553100000.0,3829800000.0,1460500000.0,1312200000.0,1280100000.0,1460500000.0,1312200000.0,1280100000.0
SXP.TO,Supremex Inc.,Consumer Cyclical,272467276.0,226429947.0,204604433.0,26913539.0,29995569.0,37025168.0,260555879.0,206370629.0,186550709.0,124318128.0,97404538.0,78961343.0,124318128.0,97404538.0,78961343.0
SGY.TO,Surge Energy Inc.,Energy,734470000.0,414638000.0,215821000.0,276125000.0,100484000.0,72190000.0,1550077000.0,1275447000.0,707964000.0,838322000.0,513383000.0,-66216000.0,838322000.0,513383000.0,-66216000.0
SWP.TO,Swiss Water Decaffeinated Coffee Inc.,Consumer Defensive,176935000.0,125076000.0,97571000.0,-1042000.0,-6377000.0,4372000.0,219039000.0,168245000.0,139233000.0,54906000.0,55595000.0,52994000.0,54906000.0,55595000.0,52994000.0
SXI.TO,Synex Renewable Energy Corporation,Utilities,2202636.0,3345540.0,3532139.0,-368696.0,568731.0,-363760.0,19768830.0,21726832.0,23131937.0,3900158.0,5028648.0,5673537.0,3900158.0,5028648.0,5673537.0
TBL.TO,Taiga Building Products Ltd.,Basic Materials,2192705000.0,2219674000.0,1589123000.0,53811000.0,118618000.0,50842000.0,617832000.0,583004000.0,474164000.0,363248000.0,267055000.0,205019000.0,363248000.0,267055000.0,205019000.0
TAIG.TO,Taiga Motors Corporation,Consumer Cyclical,3212100.0,0.0,0.0,-46900614.0,-43120449.0,-365556.0,94314717.0,144898962.0,12404549.0,66248640.0,122549355.0,-115713525.0,66248640.0,122549355.0,-115713525.0
TSK.TO,Talisker Resources Ltd.,Basic Materials,0.0,0.0,0.0,-28386218.0,-38144856.0,-17741320.0,44639036.0,60739750.0,60428300.0,20117713.0,22691931.0,37530766.0,20117713.0,22691931.0,37530766.0
TLO.TO,Talon Metals Corp.,Basic Materials,0.0,0.0,0.0,-1483351.0,-2474591.0,-2879312.0,218194973.0,125582336.0,76271952.0,212819580.0,122016555.0,73145632.0,212819580.0,122016555.0,73145632.0
TVE.TO,Tamarack Valley Energy Ltd.,Energy,1461117000.0,701051000.0,222073000.0,805377000.0,297894000.0,125290000.0,4619701000.0,2328153000.0,1027600000.0,2163239000.0,1260625000.0,509518000.0,2163239000.0,1260625000.0,509518000.0
TKO.TO,Taseko Mines Limited,Basic Materials,391609000.0,433278000.0,343267000.0,81266000.0,174769000.0,106195000.0,1278684000.0,1183195000.0,910365000.0,356409000.0,358518000.0,317372000.0,356409000.0,358518000.0,317372000.0
TRP.TO,TC Energy Corporation,Energy,14977000000.0,13387000000.0,12999000000.0,6375000000.0,6890000000.0,7058000000.0,114348000000.0,104218000000.0,100300000000.0,34116000000.0,33396000000.0,33473000000.0,34116000000.0,33396000000.0,33473000000.0
XTD.TO,TDb Split Corp.,Financial Services,1921048.0,18493855.0,-13928334.0,5844907.0,-19994793.0,-12294092.0,89745033.0,87063157.0,60523243.0,24111622.0,26906328.0,10420095.0,24111622.0,26906328.0,10420095.0
TECK-B.TO,Teck Resources Limited,Basic Materials,17316000000.0,12766000000.0,8948000000.0,7983000000.0,4738000000.0,1563000000.0,52359000000.0,47368000000.0,41278000000.0,26511000000.0,23773000000.0,20708000000.0,26511000000.0,23773000000.0,20708000000.0
TCS.TO,Tecsys Inc.,Technology,152424000.0,137200000.0,123101000.0,7760000.0,4944000.0,19113000.0,126916000.0,125844000.0,129309000.0,70438000.0,68683000.0,67090000.0,70438000.0,68683000.0,67090000.0
